ticker,company,revenue_2022,market_cap,return_on_equity,annual_return_2022,status
NEE,NextEra Energy,20956000000.0,191222267904.0,0.083739996,-0.06847870378819215,OK
IBE.MC,Iberdrola,53949000000.0,133805334528.0,0.10325,0.09353224441475552,OK
DUK,Duke Energy,28768000000.0,99478667264.0,0.09724,0.034165269357723904,OK
CEG,Constellation Energy,24440000000.0,107177623552.0,0.16364,1.0712944387421852,OK
ENEL.MI,Enel,102666000000.0,96523583488.0,0.11705,-0.25272620484443564,OK
NG.L,National Grid,18449000000.0,63401246720.0,0.07868,-0.07437575406340474,OK
AEP,American Electric Power,19639500000.0,72739667968.0,0.12486,0.10828796937722948,OK
ENGI.PA,Engie,93864000000.0,71070187520.0,0.1154,0.09185138997120945,OK
SRE,Sempra,14439000000.0,61256462336.0,0.051909998,0.20563620313899073,OK
D,Dominion Energy,13938000000.0,54873767936.0,0.09741,-0.18901733254889713,OK
ETR,Entergy,13764237000.0,53047414784.0,0.10774,0.04714775903395849,OK
VST,Vistra,13728000000.0,55596564480.0,0.17656,0.05213976173256133,OK
EOAN.DE,E.ON,115660000000.0,49148547072.0,0.0912,-0.20181485648677566,OK
EXC,Exelon,19078000000.0,47889711104.0,0.09936,0.09599931051749916,OK
SSE.L,SSE,8697200000.0,29766862848.0,0.08831,0.029357440273559268,OK
PCG,PG&E,21680000000.0,37911224320.0,0.08207,0.3316954781011941,OK
WEC,WEC Energy,9597400000.0,37735559168.0,0.11576,0.005630275253716087,OK
NRG,NRG Energy,31543000000.0,35747164160.0,0.41548002,-0.23253088458809404,OK
PPL,PPL Corp,7902000000.0,29597696000.0,0.08157,0.0008441901347412414,OK
VIE.PA,Veolia,42886000000.0,26007228416.0,0.1216,-0.23112734332982773,OK
FE,FirstEnergy,12459000000.0,29009584128.0,0.09195,0.05676256796561085,OK
ES,Eversource Energy,12289336000.0,25999101952.0,0.10777,-0.030889694022600115,OK
AWK,American Water Works,3792000000.0,25542639616.0,0.10496,-0.15787476012300425,OK
NI,NiSource,5850600000.0,23228000256.0,0.0907,0.030032480353749776,OK
EVRG,Evergy,5859100000.0,18936266752.0,0.08569,-0.0426412118130924,OK
LNT,Alliant Energy,4205000000.0,18781865984.0,0.11299,-0.06494760538957238,OK
TRN.MI,Terna,2918000000.0,20032905216.0,0.14498,-0.00029884575555489003,OK
EDP.LS,EDP,20650764000.0,18238863360.0,0.08270001,-0.005563680065296181,OK
9503.T,Kansai Electric Power,2851894000000.0,2786292924416.0,0.12425,0.22135391311725722,OK
SRG.MI,Snam,3496000000.0,21906606080.0,0.13884,-0.11145573607315046,OK
EMA.TO,Emera,7588000000.0,22004152320.0,0.08169,-0.13453846116705714,OK
9532.T,Osaka Gas,1591120000000.0,2358016999424.0,0.1079,0.1331797638280964,OK
9531.T,Tokyo Gas,2154860000000.0,2309966528512.0,0.12126,0.2775537686949947,OK
ELE.MC,Endesa,32540000000.0,38005534720.0,0.23938999,-0.08186301039512288,OK
9502.T,Chubu Electric Power,2705161000000.0,2185019654144.0,0.082279995,0.15866560998678456,OK
UU.L,United Utilities,1862700000.0,9208903680.0,0.20435,-0.09131433585652558,OK
PNW,Pinnacle West,4324385000.0,12576985088.0,0.09059,0.14300518373960786,OK
ELET3.SA,Eletrobras,,,,,NO 2022 DATA
CNA.L,Centrica,23741000000.0,8939986944.0,-0.01228,0.30768725338251524,OK
ORSTED.CO,Orsted,108231000000.0,205688913920.0,0.02611,-0.25630293053504766,OK
SVT.L,Severn Trent,1943300000.0,9487334400.0,0.17407,-0.09766065458136478,OK
NTGY.MC,Naturgy,33965000000.0,24734709760.0,0.20716,-0.11024587497215221,OK
AES,AES Corp,12617000000.0,10321712128.0,0.01954,0.21288698757950322,OK
VER.VI,Verbund,10346076000.0,21261840384.0,0.15122,-0.1807582933512455,OK
RED.MC,Redeia,2015036000.0,8111525376.0,0.10127,-0.10651925145419901,OK
ENG.MC,Enagas,957100000.0,4268258816.0,0.14429,-0.16234373320950757,OK
