jxi_ticker,yfinance_ticker,company,scope1_emissions_tco2,reporting_year,revenue_2022,market_cap,return_on_equity,annual_return_2022,status,carbon_intensity
NEE,NEE,NextEra Energy,42002456.0,2022,20956000000.0,191222267904.0,0.083739996,-0.0684787037881921,OK,0.0020043164726092767
IBE,IBE.MC,Iberdrola,11270639.0,2022,53949000000.0,133805334528.0,0.10325,0.0935322444147555,OK,0.00020891284361155906
DUK,DUK,Duke Energy,78800000.0,2022,28768000000.0,99478667264.0,0.09724,0.0341652693577239,OK,0.002739154616240267
CEG,CEG,Constellation Energy,9108347.0,2022,24440000000.0,107177623552.0,0.16364,1.0712944387421852,OK,0.0003726819558101473
ENEL,ENEL.MI,Enel,53066418.0,2022,102666000000.0,96523583488.0,0.11705,-0.2527262048444356,OK,0.0005168840511951377
NG.,NG.L,National Grid,5270747.0,2022,18449000000.0,63401246720.0,0.07868,-0.0743757540634047,OK,0.0002856928288796141
AEP,AEP,American Electric Power,51100000.0,2022,19639500000.0,72739667968.0,0.12486,0.1082879693772294,OK,0.002601899233687212
ENGI,ENGI.PA,Engie,29832102.0,2022,93864000000.0,71070187520.0,0.1154,0.0918513899712094,OK,0.0003178226156993096
SRE,SRE,Sempra,7164579.0,2022,14439000000.0,61256462336.0,0.051909998,0.2056362031389907,OK,0.0004961963432370662
D,D,Dominion Energy,33260819.0,2022,13938000000.0,54873767936.0,0.09741,-0.1890173325488971,OK,0.002386340866695365
ETR,ETR,Entergy,39551503.0,2022,13764237000.0,53047414784.0,0.10774,0.0471477590339584,OK,0.0028734976737177656
VST,VST,Vistra,94785101.0,2022,13728000000.0,55596564480.0,0.17656,0.0521397617325613,OK,0.006904509105477855
EOAN,EOAN.DE,E.ON,2881548.82,2022,115660000000.0,49148547072.0,0.0912,-0.2018148564867756,OK,2.4913961784540895e-05
EXC,EXC,Exelon,452011.0,2022,19078000000.0,47889711104.0,0.09936,0.0959993105174991,OK,2.369278750393123e-05
SSE,SSE.L,SSE,5746504.0,2022,8697200000.0,29766862848.0,0.08831,0.0293574402735592,OK,0.0006607303499977004
PCG,PCG,PG&E,3353070.0,2022,21680000000.0,37911224320.0,0.08207,0.3316954781011941,OK,0.0001546619003690037
WEC,WEC,WEC Energy,18871000.0,2022,9597400000.0,37735559168.0,0.11576,0.005630275253716,OK,0.0019662616958759666
